species,island,sex,year,date,id,measurements,values
Adelie,Biscoe,female,2007,2007-11-12,N11A1,bill_length_mm,37.8
Adelie,Biscoe,female,2007,2007-11-12,N11A1,bill_depth_mm,18.3
Adelie,Biscoe,female,2007,2007-11-12,N11A1,flipper_length_mm,174
Adelie,Biscoe,female,2007,2007-11-12,N11A1,body_mass_g,3400
Adelie,Biscoe,male,2007,2007-11-12,N11A2,bill_length_mm,37.7
Adelie,Biscoe,male,2007,2007-11-12,N11A2,bill_depth_mm,18.7
Adelie,Biscoe,male,2007,2007-11-12,N11A2,flipper_length_mm,180
Adelie,Biscoe,male,2007,2007-11-12,N11A2,body_mass_g,3600
Adelie,Biscoe,female,2007,2007-11-12,N12A1,bill_length_mm,35.9
Adelie,Biscoe,female,2007,2007-11-12,N12A1,bill_depth_mm,19.2
Adelie,Biscoe,female,2007,2007-11-12,N12A1,flipper_length_mm,189
Adelie,Biscoe,female,2007,2007-11-12,N12A1,body_mass_g,3800
Adelie,Biscoe,male,2007,2007-11-12,N12A2,bill_length_mm,38.2
Adelie,Biscoe,male,2007,2007-11-12,N12A2,bill_depth_mm,18.1
Adelie,Biscoe,male,2007,2007-11-12,N12A2,flipper_length_mm,185
Adelie,Biscoe,male,2007,2007-11-12,N12A2,body_mass_g,3950
Adelie,Biscoe,male,2007,2007-11-10,N13A1,bill_length_mm,38.8
Adelie,Biscoe,male,2007,2007-11-10,N13A1,bill_depth_mm,17.2
Adelie,Biscoe,male,2007,2007-11-10,N13A1,flipper_length_mm,180
Adelie,Biscoe,male,2007,2007-11-10,N13A1,body_mass_g,3800
Adelie,Biscoe,female,2007,2007-11-10,N13A2,bill_length_mm,35.3
Adelie,Biscoe,female,2007,2007-11-10,N13A2,bill_depth_mm,18.9
Adelie,Biscoe,female,2007,2007-11-10,N13A2,flipper_length_mm,187
Adelie,Biscoe,female,2007,2007-11-10,N13A2,body_mass_g,3800
Adelie,Biscoe,male,2007,2007-11-12,N17A1,bill_length_mm,40.6
Adelie,Biscoe,male,2007,2007-11-12,N17A1,bill_depth_mm,18.6
Adelie,Biscoe,male,2007,2007-11-12,N17A1,flipper_length_mm,183
Adelie,Biscoe,male,2007,2007-11-12,N17A1,body_mass_g,3550
Adelie,Biscoe,female,2007,2007-11-12,N17A2,bill_length_mm,40.5
Adelie,Biscoe,female,2007,2007-11-12,N17A2,bill_depth_mm,17.9
Adelie,Biscoe,female,2007,2007-11-12,N17A2,flipper_length_mm,187
Adelie,Biscoe,female,2007,2007-11-12,N17A2,body_mass_g,3200
Adelie,Biscoe,female,2007,2007-11-10,N18A1,bill_length_mm,37.9
Adelie,Biscoe,female,2007,2007-11-10,N18A1,bill_depth_mm,18.6
Adelie,Biscoe,female,2007,2007-11-10,N18A1,flipper_length_mm,172
Adelie,Biscoe,female,2007,2007-11-10,N18A1,body_mass_g,3150
Adelie,Biscoe,male,2007,2007-11-10,N18A2,bill_length_mm,40.5
Adelie,Biscoe,male,2007,2007-11-10,N18A2,bill_depth_mm,18.9
Adelie,Biscoe,male,2007,2007-11-10,N18A2,flipper_length_mm,180
Adelie,Biscoe,male,2007,2007-11-10,N18A2,body_mass_g,3950
Adelie,Dream,female,2007,2007-11-09,N21A1,bill_length_mm,39.5
Adelie,Dream,female,2007,2007-11-09,N21A1,bill_depth_mm,16.7
Adelie,Dream,female,2007,2007-11-09,N21A1,flipper_length_mm,178
Adelie,Dream,female,2007,2007-11-09,N21A1,body_mass_g,3250
Adelie,Dream,male,2007,2007-11-09,N21A2,bill_length_mm,37.2
Adelie,Dream,male,2007,2007-11-09,N21A2,bill_depth_mm,18.1
Adelie,Dream,male,2007,2007-11-09,N21A2,flipper_length_mm,178
Adelie,Dream,male,2007,2007-11-09,N21A2,body_mass_g,3900
Adelie,Dream,female,2007,2007-11-09,N22A1,bill_length_mm,39.5
Adelie,Dream,female,2007,2007-11-09,N22A1,bill_depth_mm,17.8
Adelie,Dream,female,2007,2007-11-09,N22A1,flipper_length_mm,188
Adelie,Dream,female,2007,2007-11-09,N22A1,body_mass_g,3300
Adelie,Dream,male,2007,2007-11-09,N22A2,bill_length_mm,40.9
Adelie,Dream,male,2007,2007-11-09,N22A2,bill_depth_mm,18.9
Adelie,Dream,male,2007,2007-11-09,N22A2,flipper_length_mm,184
Adelie,Dream,male,2007,2007-11-09,N22A2,body_mass_g,3900
Adelie,Dream,female,2007,2007-11-16,N23A1,bill_length_mm,36.4
Adelie,Dream,female,2007,2007-11-16,N23A1,bill_depth_mm,17
Adelie,Dream,female,2007,2007-11-16,N23A1,flipper_length_mm,195
Adelie,Dream,female,2007,2007-11-16,N23A1,body_mass_g,3325
Adelie,Dream,male,2007,2007-11-16,N23A2,bill_length_mm,39.2
Adelie,Dream,male,2007,2007-11-16,N23A2,bill_depth_mm,21.1
Adelie,Dream,male,2007,2007-11-16,N23A2,flipper_length_mm,196
Adelie,Dream,male,2007,2007-11-16,N23A2,body_mass_g,4150
Adelie,Dream,male,2007,2007-11-16,N24A1,bill_length_mm,38.8
Adelie,Dream,male,2007,2007-11-16,N24A1,bill_depth_mm,20
Adelie,Dream,male,2007,2007-11-16,N24A1,flipper_length_mm,190
Adelie,Dream,male,2007,2007-11-16,N24A1,body_mass_g,3950
Adelie,Dream,female,2007,2007-11-16,N24A2,bill_length_mm,42.2
Adelie,Dream,female,2007,2007-11-16,N24A2,bill_depth_mm,18.5
Adelie,Dream,female,2007,2007-11-16,N24A2,flipper_length_mm,180
Adelie,Dream,female,2007,2007-11-16,N24A2,body_mass_g,3550
Adelie,Dream,female,2007,2007-11-13,N25A1,bill_length_mm,37.6
Adelie,Dream,female,2007,2007-11-13,N25A1,bill_depth_mm,19.3
Adelie,Dream,female,2007,2007-11-13,N25A1,flipper_length_mm,181
Adelie,Dream,female,2007,2007-11-13,N25A1,body_mass_g,3300
Adelie,Dream,male,2007,2007-11-13,N25A2,bill_length_mm,39.8
Adelie,Dream,male,2007,2007-11-13,N25A2,bill_depth_mm,19.1
Adelie,Dream,male,2007,2007-11-13,N25A2,flipper_length_mm,184
Adelie,Dream,male,2007,2007-11-13,N25A2,body_mass_g,4650
Adelie,Dream,female,2007,2007-11-16,N26A1,bill_length_mm,36.5
Adelie,Dream,female,2007,2007-11-16,N26A1,bill_depth_mm,18
Adelie,Dream,female,2007,2007-11-16,N26A1,flipper_length_mm,182
Adelie,Dream,female,2007,2007-11-16,N26A1,body_mass_g,3150
Adelie,Dream,male,2007,2007-11-16,N26A2,bill_length_mm,40.8
Adelie,Dream,male,2007,2007-11-16,N26A2,bill_depth_mm,18.4
Adelie,Dream,male,2007,2007-11-16,N26A2,flipper_length_mm,195
Adelie,Dream,male,2007,2007-11-16,N26A2,body_mass_g,3900
Adelie,Dream,female,2007,2007-11-19,N27A1,bill_length_mm,36
Adelie,Dream,female,2007,2007-11-19,N27A1,bill_depth_mm,18.5
Adelie,Dream,female,2007,2007-11-19,N27A1,flipper_length_mm,186
Adelie,Dream,female,2007,2007-11-19,N27A1,body_mass_g,3100
Adelie,Dream,male,2007,2007-11-19,N27A2,bill_length_mm,44.1
Adelie,Dream,male,2007,2007-11-19,N27A2,bill_depth_mm,19.7
Adelie,Dream,male,2007,2007-11-19,N27A2,flipper_length_mm,196
Adelie,Dream,male,2007,2007-11-19,N27A2,body_mass_g,4400
Adelie,Dream,female,2007,2007-11-16,N28A1,bill_length_mm,37
Adelie,Dream,female,2007,2007-11-16,N28A1,bill_depth_mm,16.9
Adelie,Dream,female,2007,2007-11-16,N28A1,flipper_length_mm,185
Adelie,Dream,female,2007,2007-11-16,N28A1,body_mass_g,3000
Adelie,Dream,male,2007,2007-11-16,N28A2,bill_length_mm,39.6
Adelie,Dream,male,2007,2007-11-16,N28A2,bill_depth_mm,18.8
Adelie,Dream,male,2007,2007-11-16,N28A2,flipper_length_mm,190
Adelie,Dream,male,2007,2007-11-16,N28A2,body_mass_g,4600
Adelie,Dream,male,2007,2007-11-13,N29A1,bill_length_mm,41.1
Adelie,Dream,male,2007,2007-11-13,N29A1,bill_depth_mm,19
Adelie,Dream,male,2007,2007-11-13,N29A1,flipper_length_mm,182
Adelie,Dream,male,2007,2007-11-13,N29A1,body_mass_g,3425
Adelie,Dream,NA,2007,2007-11-13,N29A2,bill_length_mm,37.5
Adelie,Dream,NA,2007,2007-11-13,N29A2,bill_depth_mm,18.9
Adelie,Dream,NA,2007,2007-11-13,N29A2,flipper_length_mm,179
Adelie,Dream,NA,2007,2007-11-13,N29A2,body_mass_g,2975
Adelie,Dream,female,2007,2007-11-13,N30A1,bill_length_mm,36
Adelie,Dream,female,2007,2007-11-13,N30A1,bill_depth_mm,17.9
Adelie,Dream,female,2007,2007-11-13,N30A1,flipper_length_mm,190
Adelie,Dream,female,2007,2007-11-13,N30A1,body_mass_g,3450
Adelie,Dream,male,2007,2007-11-13,N30A2,bill_length_mm,42.3
Adelie,Dream,male,2007,2007-11-13,N30A2,bill_depth_mm,21.2
Adelie,Dream,male,2007,2007-11-13,N30A2,flipper_length_mm,191
Adelie,Dream,male,2007,2007-11-13,N30A2,body_mass_g,4150
Adelie,Biscoe,female,2008,2008-11-06,N21A1,bill_length_mm,39.6
Adelie,Biscoe,female,2008,2008-11-06,N21A1,bill_depth_mm,17.7
Adelie,Biscoe,female,2008,2008-11-06,N21A1,flipper_length_mm,186
Adelie,Biscoe,female,2008,2008-11-06,N21A1,body_mass_g,3500
Adelie,Biscoe,male,2008,2008-11-06,N21A2,bill_length_mm,40.1
Adelie,Biscoe,male,2008,2008-11-06,N21A2,bill_depth_mm,18.9
Adelie,Biscoe,male,2008,2008-11-06,N21A2,flipper_length_mm,188
Adelie,Biscoe,male,2008,2008-11-06,N21A2,body_mass_g,4300
Adelie,Biscoe,female,2008,2008-11-09,N22A1,bill_length_mm,35
Adelie,Biscoe,female,2008,2008-11-09,N22A1,bill_depth_mm,17.9
Adelie,Biscoe,female,2008,2008-11-09,N22A1,flipper_length_mm,190
Adelie,Biscoe,female,2008,2008-11-09,N22A1,body_mass_g,3450
Adelie,Biscoe,male,2008,2008-11-09,N22A2,bill_length_mm,42
Adelie,Biscoe,male,2008,2008-11-09,N22A2,bill_depth_mm,19.5
Adelie,Biscoe,male,2008,2008-11-09,N22A2,flipper_length_mm,200
Adelie,Biscoe,male,2008,2008-11-09,N22A2,body_mass_g,4050
Adelie,Biscoe,female,2008,2008-11-09,N23A1,bill_length_mm,34.5
Adelie,Biscoe,female,2008,2008-11-09,N23A1,bill_depth_mm,18.1
Adelie,Biscoe,female,2008,2008-11-09,N23A1,flipper_length_mm,187
Adelie,Biscoe,female,2008,2008-11-09,N23A1,body_mass_g,2900
Adelie,Biscoe,male,2008,2008-11-09,N23A2,bill_length_mm,41.4
Adelie,Biscoe,male,2008,2008-11-09,N23A2,bill_depth_mm,18.6
Adelie,Biscoe,male,2008,2008-11-09,N23A2,flipper_length_mm,191
Adelie,Biscoe,male,2008,2008-11-09,N23A2,body_mass_g,3700
Adelie,Biscoe,female,2008,2008-11-15,N24A1,bill_length_mm,39
Adelie,Biscoe,female,2008,2008-11-15,N24A1,bill_depth_mm,17.5
Adelie,Biscoe,female,2008,2008-11-15,N24A1,flipper_length_mm,186
Adelie,Biscoe,female,2008,2008-11-15,N24A1,body_mass_g,3550
Adelie,Biscoe,male,2008,2008-11-15,N24A2,bill_length_mm,40.6
Adelie,Biscoe,male,2008,2008-11-15,N24A2,bill_depth_mm,18.8
Adelie,Biscoe,male,2008,2008-11-15,N24A2,flipper_length_mm,193
Adelie,Biscoe,male,2008,2008-11-15,N24A2,body_mass_g,3800
Adelie,Biscoe,female,2008,2008-11-15,N25A1,bill_length_mm,36.5
Adelie,Biscoe,female,2008,2008-11-15,N25A1,bill_depth_mm,16.6
Adelie,Biscoe,female,2008,2008-11-15,N25A1,flipper_length_mm,181
Adelie,Biscoe,female,2008,2008-11-15,N25A1,body_mass_g,2850
Adelie,Biscoe,male,2008,2008-11-15,N25A2,bill_length_mm,37.6
Adelie,Biscoe,male,2008,2008-11-15,N25A2,bill_depth_mm,19.1
Adelie,Biscoe,male,2008,2008-11-15,N25A2,flipper_length_mm,194
Adelie,Biscoe,male,2008,2008-11-15,N25A2,body_mass_g,3750
Adelie,Biscoe,female,2008,2008-11-13,N27A1,bill_length_mm,35.7
Adelie,Biscoe,female,2008,2008-11-13,N27A1,bill_depth_mm,16.9
Adelie,Biscoe,female,2008,2008-11-13,N27A1,flipper_length_mm,185
Adelie,Biscoe,female,2008,2008-11-13,N27A1,body_mass_g,3150
Adelie,Biscoe,male,2008,2008-11-13,N27A2,bill_length_mm,41.3
Adelie,Biscoe,male,2008,2008-11-13,N27A2,bill_depth_mm,21.1
Adelie,Biscoe,male,2008,2008-11-13,N27A2,flipper_length_mm,195
Adelie,Biscoe,male,2008,2008-11-13,N27A2,body_mass_g,4400
Adelie,Biscoe,female,2008,2008-11-13,N28A1,bill_length_mm,37.6
Adelie,Biscoe,female,2008,2008-11-13,N28A1,bill_depth_mm,17
Adelie,Biscoe,female,2008,2008-11-13,N28A1,flipper_length_mm,185
Adelie,Biscoe,female,2008,2008-11-13,N28A1,body_mass_g,3600
Adelie,Biscoe,male,2008,2008-11-13,N28A2,bill_length_mm,41.1
Adelie,Biscoe,male,2008,2008-11-13,N28A2,bill_depth_mm,18.2
Adelie,Biscoe,male,2008,2008-11-13,N28A2,flipper_length_mm,192
Adelie,Biscoe,male,2008,2008-11-13,N28A2,body_mass_g,4050
Adelie,Biscoe,female,2008,2008-11-13,N29A1,bill_length_mm,36.4
Adelie,Biscoe,female,2008,2008-11-13,N29A1,bill_depth_mm,17.1
Adelie,Biscoe,female,2008,2008-11-13,N29A1,flipper_length_mm,184
Adelie,Biscoe,female,2008,2008-11-13,N29A1,body_mass_g,2850
Adelie,Biscoe,male,2008,2008-11-13,N29A2,bill_length_mm,41.6
Adelie,Biscoe,male,2008,2008-11-13,N29A2,bill_depth_mm,18
Adelie,Biscoe,male,2008,2008-11-13,N29A2,flipper_length_mm,192
Adelie,Biscoe,male,2008,2008-11-13,N29A2,body_mass_g,3950
Adelie,Biscoe,female,2008,2008-11-06,N30A1,bill_length_mm,35.5
Adelie,Biscoe,female,2008,2008-11-06,N30A1,bill_depth_mm,16.2
Adelie,Biscoe,female,2008,2008-11-06,N30A1,flipper_length_mm,195
Adelie,Biscoe,female,2008,2008-11-06,N30A1,body_mass_g,3350
Adelie,Biscoe,male,2008,2008-11-06,N30A2,bill_length_mm,41.1
Adelie,Biscoe,male,2008,2008-11-06,N30A2,bill_depth_mm,19.1
Adelie,Biscoe,male,2008,2008-11-06,N30A2,flipper_length_mm,188
Adelie,Biscoe,male,2008,2008-11-06,N30A2,body_mass_g,4100
Adelie,Torgersen,female,2008,2008-11-11,N32A1,bill_length_mm,35.9
Adelie,Torgersen,female,2008,2008-11-11,N32A1,bill_depth_mm,16.6
Adelie,Torgersen,female,2008,2008-11-11,N32A1,flipper_length_mm,190
Adelie,Torgersen,female,2008,2008-11-11,N32A1,body_mass_g,3050
Adelie,Torgersen,male,2008,2008-11-11,N32A2,bill_length_mm,41.8
Adelie,Torgersen,male,2008,2008-11-11,N32A2,bill_depth_mm,19.4
Adelie,Torgersen,male,2008,2008-11-11,N32A2,flipper_length_mm,198
Adelie,Torgersen,male,2008,2008-11-11,N32A2,body_mass_g,4450
Adelie,Torgersen,female,2008,2008-11-14,N34A1,bill_length_mm,33.5
Adelie,Torgersen,female,2008,2008-11-14,N34A1,bill_depth_mm,19
Adelie,Torgersen,female,2008,2008-11-14,N34A1,flipper_length_mm,190
Adelie,Torgersen,female,2008,2008-11-14,N34A1,body_mass_g,3600
Adelie,Torgersen,male,2008,2008-11-14,N34A2,bill_length_mm,39.7
Adelie,Torgersen,male,2008,2008-11-14,N34A2,bill_depth_mm,18.4
Adelie,Torgersen,male,2008,2008-11-14,N34A2,flipper_length_mm,190
Adelie,Torgersen,male,2008,2008-11-14,N34A2,body_mass_g,3900
Adelie,Torgersen,female,2008,2008-11-11,N35A1,bill_length_mm,39.6
Adelie,Torgersen,female,2008,2008-11-11,N35A1,bill_depth_mm,17.2
Adelie,Torgersen,female,2008,2008-11-11,N35A1,flipper_length_mm,196
Adelie,Torgersen,female,2008,2008-11-11,N35A1,body_mass_g,3550
Adelie,Torgersen,male,2008,2008-11-11,N35A2,bill_length_mm,45.8
Adelie,Torgersen,male,2008,2008-11-11,N35A2,bill_depth_mm,18.9
Adelie,Torgersen,male,2008,2008-11-11,N35A2,flipper_length_mm,197
Adelie,Torgersen,male,2008,2008-11-11,N35A2,body_mass_g,4150
Adelie,Torgersen,female,2008,2008-11-08,N36A1,bill_length_mm,35.5
Adelie,Torgersen,female,2008,2008-11-08,N36A1,bill_depth_mm,17.5
Adelie,Torgersen,female,2008,2008-11-08,N36A1,flipper_length_mm,190
Adelie,Torgersen,female,2008,2008-11-08,N36A1,body_mass_g,3700
Adelie,Torgersen,male,2008,2008-11-08,N36A2,bill_length_mm,42.8
Adelie,Torgersen,male,2008,2008-11-08,N36A2,bill_depth_mm,18.5
Adelie,Torgersen,male,2008,2008-11-08,N36A2,flipper_length_mm,195
Adelie,Torgersen,male,2008,2008-11-08,N36A2,body_mass_g,4250
Adelie,Torgersen,female,2008,2008-11-06,N37A1,bill_length_mm,40.9
Adelie,Torgersen,female,2008,2008-11-06,N37A1,bill_depth_mm,16.8
Adelie,Torgersen,female,2008,2008-11-06,N37A1,flipper_length_mm,191
Adelie,Torgersen,female,2008,2008-11-06,N37A1,body_mass_g,3700
Adelie,Torgersen,male,2008,2008-11-06,N37A2,bill_length_mm,37.2
Adelie,Torgersen,male,2008,2008-11-06,N37A2,bill_depth_mm,19.4
Adelie,Torgersen,male,2008,2008-11-06,N37A2,flipper_length_mm,184
Adelie,Torgersen,male,2008,2008-11-06,N37A2,body_mass_g,3900
Adelie,Torgersen,female,2008,2008-11-09,N38A1,bill_length_mm,36.2
Adelie,Torgersen,female,2008,2008-11-09,N38A1,bill_depth_mm,16.1
Adelie,Torgersen,female,2008,2008-11-09,N38A1,flipper_length_mm,187
Adelie,Torgersen,female,2008,2008-11-09,N38A1,body_mass_g,3550
Adelie,Torgersen,male,2008,2008-11-09,N38A2,bill_length_mm,42.1
Adelie,Torgersen,male,2008,2008-11-09,N38A2,bill_depth_mm,19.1
Adelie,Torgersen,male,2008,2008-11-09,N38A2,flipper_length_mm,195
Adelie,Torgersen,male,2008,2008-11-09,N38A2,body_mass_g,4000
Adelie,Torgersen,female,2008,2008-11-02,N39A1,bill_length_mm,34.6
Adelie,Torgersen,female,2008,2008-11-02,N39A1,bill_depth_mm,17.2
Adelie,Torgersen,female,2008,2008-11-02,N39A1,flipper_length_mm,189
Adelie,Torgersen,female,2008,2008-11-02,N39A1,body_mass_g,3200
Adelie,Torgersen,male,2008,2008-11-02,N39A2,bill_length_mm,42.9
Adelie,Torgersen,male,2008,2008-11-02,N39A2,bill_depth_mm,17.6
Adelie,Torgersen,male,2008,2008-11-02,N39A2,flipper_length_mm,196
Adelie,Torgersen,male,2008,2008-11-02,N39A2,body_mass_g,4700
Adelie,Torgersen,female,2008,2008-11-07,N40A1,bill_length_mm,36.7
Adelie,Torgersen,female,2008,2008-11-07,N40A1,bill_depth_mm,18.8
Adelie,Torgersen,female,2008,2008-11-07,N40A1,flipper_length_mm,187
Adelie,Torgersen,female,2008,2008-11-07,N40A1,body_mass_g,3800
Adelie,Torgersen,male,2008,2008-11-07,N40A2,bill_length_mm,35.1
Adelie,Torgersen,male,2008,2008-11-07,N40A2,bill_depth_mm,19.4
Adelie,Torgersen,male,2008,2008-11-07,N40A2,flipper_length_mm,193
Adelie,Torgersen,male,2008,2008-11-07,N40A2,body_mass_g,4200
Adelie,Dream,female,2008,2008-11-17,N41A1,bill_length_mm,37.3
Adelie,Dream,female,2008,2008-11-17,N41A1,bill_depth_mm,17.8
Adelie,Dream,female,2008,2008-11-17,N41A1,flipper_length_mm,191
Adelie,Dream,female,2008,2008-11-17,N41A1,body_mass_g,3350
Adelie,Dream,male,2008,2008-11-17,N41A2,bill_length_mm,41.3
Adelie,Dream,male,2008,2008-11-17,N41A2,bill_depth_mm,20.3
Adelie,Dream,male,2008,2008-11-17,N41A2,flipper_length_mm,194
Adelie,Dream,male,2008,2008-11-17,N41A2,body_mass_g,3550
Adelie,Dream,male,2008,2008-11-08,N42A1,bill_length_mm,36.3
Adelie,Dream,male,2008,2008-11-08,N42A1,bill_depth_mm,19.5
Adelie,Dream,male,2008,2008-11-08,N42A1,flipper_length_mm,190
Adelie,Dream,male,2008,2008-11-08,N42A1,body_mass_g,3800
Adelie,Dream,female,2008,2008-11-08,N42A2,bill_length_mm,36.9
Adelie,Dream,female,2008,2008-11-08,N42A2,bill_depth_mm,18.6
Adelie,Dream,female,2008,2008-11-08,N42A2,flipper_length_mm,189
Adelie,Dream,female,2008,2008-11-08,N42A2,body_mass_g,3500
Adelie,Dream,male,2008,2008-11-08,N44A1,bill_length_mm,38.3
Adelie,Dream,male,2008,2008-11-08,N44A1,bill_depth_mm,19.2
Adelie,Dream,male,2008,2008-11-08,N44A1,flipper_length_mm,189
Adelie,Dream,male,2008,2008-11-08,N44A1,body_mass_g,3950
Adelie,Dream,female,2008,2008-11-08,N44A2,bill_length_mm,38.9
Adelie,Dream,female,2008,2008-11-08,N44A2,bill_depth_mm,18.8
